DATE,NCBEILQ027S_BCNSDODNS_CMDEBT_FGSDODNS_SLGSDODNS_FBCELLQ027S_DODFFSWCMI
2019-04-01,0.44735598697576165098
2019-07-01,0.44423900336308551887
2019-10-01,0.45909723577850942938
2020-01-01,0.39552032991353761459
2020-04-01,0.42664339844500919814
2020-07-01,0.44586146989032035469
2020-10-01,0.47817770787951858372
2021-01-01,0.49194341365070476891
2021-04-01,0.50400705970455302494
2021-07-01,0.50132810720950370891
2021-10-01,0.51300515223721504282
2022-01-01,0.49763114973727671645
2022-04-01,0.44970953220458090628
2022-07-01,0.43635796701972477571
2022-10-01,0.44689563173814447692
2023-01-01,0.46015665406021926046
2023-04-01,0.47323584562813210611
2023-07-01,0.46109944194001140980
2023-10-01,0.48192145690932806981
2024-01-01,0.50019688673378768319
2024-04-01,0.50275017517677003161
